SubString Matches,Exact Matches,Word
118,1,ccc
9,0,clinton
83,0,pico
12,0,ccv
178,0,pica
3,0,kossu
535,0,cem
1716,0,cel
8,0,hoden
5,0,fontana
4,0,flid
6,0,skype
79,0,cex
270,0,after
2,0,muschi
6,1,garland
1,0,hrny
35,0,pied
1,0,coamo
1,0,niple
42,0,timbo
3,0,ofay
42,0,eier
283,0,goof
29,0,tush
7474,1,che
23,0,tusi
45,0,cig
9,0,pija
52,0,rojas
61,0,avale
113,0,root
8,0,salami
1,0,gook
149,0,goon
2,0,cancer
1,0,imbecil
1,1,knockers
1,0,menses
178,0,pill
17,0,dummy
6,0,orellana
11,0,piks
65,1,pila
299,0,pike
9,0,fesse
16,0,pikk
17,0,flog
1,0,sanhueza
12,0,jurado
249,0,pine
91,0,eins
208,0,pino
4,0,jujut
11,0,kentucky
1,0,adultery
7,0,hastings
22,0,pimp
15,0,picture
1,0,faget
945,0,coc
6,0,ogden
2,0,smegma
1756,0,com
3562,0,con
49,0,coq
71,0,pipi
180,0,cox
4,0,szcza
13,0,cpf
291,0,pipe
36,0,pipa
44,0,kiana
1,1,bocão
211,0,piri
35,1,piru
53,0,crs
1049,0,cru
5,0,gemer
1,0,appleton
124,0,pito
1,1,toonbook
2,0,huntington
5,0,shota
1,0,melones
13,0,gozo
8,0,piss
76,0,pist
1,0,putero
112,0,cum
16,0,pish
484,0,cul
9,1,hodges
8,0,shots
4,0,anaconda
34,0,pichu
13,0,cvn
2,0,colegio
1,0,weona
2,0,picio
11,1,peña
2,1,torture
2,0,mistress
7,0,gatinho
8,0,redmond
3,0,thigh
4,0,slapper
3,0,genan
86,0,savannah
190,0,cyc
1,0,fetis
1,0,garchar
5,0,lechee
26,0,hitch
1,0,pizd
6,0,bolado
1,0,facada
4,0,ninety
23,0,gland
3,0,wacho
17,0,steroid
232,0,cameron
4,0,wache
4,0,daten
8,0,lombo
2,0,nipel
1,0,chaude
4,0,fajardo
3,0,morder
2361,0,dam
29,0,daq
1,0,metralleta
1,0,extasi
161,0,ejac
1,0,zarpa
1,0,røve
1,0,suicid
17,0,dck
9,0,lomit
1,0,salaud
1,0,saskatchewan
20,0,annale
554,0,dda
8,0,skyde
1,0,extasy
2,0,bolada
772,0,dec
90,0,criss
376,0,dex
493,0,dez
2,0,presidente
1,0,jitoku
1,0,quinze
3,0,chickenhead
1,0,cayey
1,0,chikan
2,0,palencia
1,0,romish
751,0,dic
1,0,kwiki
3580,0,die
262,0,dik
697,0,div
180,0,diu
203,0,dix
161,0,lolli
120,0,lolly
2,0,goshen
1,0,sjuff
129,0,bach
1,0,sjuft
1,0,machete
26,0,dks
582,0,mack
30,0,houston
23,0,ferry
630,0,thomas
1,0,cayce
1,0,agüita
171,0,babe
4,0,crips
3,0,moffe
1375,0,baby
1,0,chupamela
78,0,cooter
14,0,palli
1,0,guadalajara
20,0,palla
5,0,dulle
18,0,palle
1,0,shoka
23,0,chatte
12,0,roids
2,0,ujelly
26,0,darra
16,0,chipper
26,0,palma
3056,0,dog
3355,1,don
260,0,dop
33,0,strok
371,0,dot
21,0,bago
685,0,dos
1,0,morveux
1,0,sjusk
3,1,søren
3,0,ciota
1,0,absinthe
14,0,picar
2,0,cadela
2,1,pjok
10,0,tilin
7,0,quebec
4,0,socar
1,1,ashville
233,0,mail
289,0,main
2,0,treze
52,0,strip
3,0,macaque
1,0,6an6
12,1,bahn
3,0,nachbar
1,0,angoon
1,0,hoochie
2,0,twat
4,0,maruja
647,0,dst
13,0,curra
1,0,psychopat
194,0,ellen
3,0,angola
290,1,maka
139,0,bala
1,0,beijo
1,0,chatom
20,1,hardcore
13,1,gentry
451,0,dub
1,0,sevier
1,0,bavaria
1,1,shojo
70,0,baka
281,0,dum
449,0,dur
3,1,tyster
120,0,mami
16,0,stinker
1,0,instagram
145,0,bank
157,0,bang
6,0,koran
2,0,wenis
16,0,cedar
10,0,alcool
11,0,dxk
67,0,xana
498,0,mano
56,0,gordon
178,0,dye
85,0,stab
162,0,dyk
10,0,aldea
1,0,stds
2,0,abgar
2,1,mamá
2,0,еб
326,0,3p
3,0,seeds
4,0,baps
19,1,blanche
212,0,4p
24,0,mapi
2,0,sobar
3835,0,69
19,0,stfu
556,0,speed
1,0,hermosillo
8,0,trece
42,0,twit
1,0,gazong
2,0,cacata
3,0,daske
29,0,dumbo
68,0,milton
1,0,mané
6202,0,88
1,0,ithaca
92,0,maul
37,0,maui
19,0,lolas
10,0,quince
264,0,mata
1353,0,mate
1,0,montecito
1,0,wenus
1,0,ardmore
1,0,facebook
12,0,sperm
84,0,stiv
70,0,moreno
121,0,mayo
9,0,appar
2,0,boelle
7,0,maté
36,0,weaver
3,0,cusco
1397,0,ees
396,0,jackson
4,0,lmfao
1002,0,eff
2,0,mansilla
1,0,lolicon
19,0,cuervo
3,0,sacrament
1,0,hafada
18,0,auburn
5,0,kviki
5,1,colita
12,0,cocos
6,0,prudence
2,0,packie
26,0,hardin
1,0,claypool
19,0,munster
87,0,brandi
61,0,loopy
6,0,allgood
1,0,tearing
55,0,brandy
167,0,stud
31,0,ohio
5,0,mcintosh
19,0,kichi
852,0,elf
2,0,usero
14287,0,ell
1,0,areola
1,0,martos
8,0,http
16,0,vaughan
2,1,mongole
9,0,golly
100,0,negr
22,0,strand
10,1,salgado
14,1,golli
2163,0,eng
32,0,memphis
